"Prüfung","A:","Name","Note","age","TICKED:age","lAS1","TICKED:lAS1","lAS2","TICKED:lAS2","lAS3","TICKED:lAS3","lage","TICKED:lage","latent01","TICKED:latent01","latent02","TICKED:latent02","latent03","TICKED:latent03","latent04","TICKED:latent04","latent05","TICKED:latent05","latent06","TICKED:latent06","latent07","TICKED:latent07","latent08","TICKED:latent08","latent09","TICKED:latent09","latent10","TICKED:latent10","latent11","TICKED:latent11","latent12","TICKED:latent12","mAS1","TICKED:mAS1","mAS2","TICKED:mAS2","mAS3","TICKED:mAS3","mAS4","TICKED:mAS4","mAS5","TICKED:mAS5","polint","TICKED:polint","sex","TICKED:sex","v5a","TICKED:v5a"
"38","","?","0","","B","","E","","D","","D","","D","","D","","B","","B","","C","","B","","D","","B","","D","","B","","D","","B","","B","","D","","D","","D","","D","","D","","A","","B","","B"
"39","","?","0","","C","","C","","C","","C","","C","","C","","C","","A","","B","","E","","D","","C","","C","","C","","D","","B","","C","","D","","D","","D","","D","","D","","B","","A","","C"
"40","","?","0","","B","","B","","D","","D","","A","","E","","B","","A","","B","","B","","D","","B","","C","","B","","E","","B","","B","","C","","D","","D","","C","","D","","A","","B","","B"
"41","","?","0","","B","","D","","D","","D","","C","","C","","B","","A","","C","","B","","D","","D","","E","","B","","D","","B","","C","","D","","D","","D","","D","","D","","C","","B","","C"
"42","","?","0","","B","","D","","D","","D","","C","","B","","A","","A","","B","","A","","C","","B","","E","","B","","B","","B","","B","","D","","D","","D","","D","","D","","B","","B","","A"
"43","","?","0","","A","","D","","D","","D","","B","","C","","C","","B","","D","","E","","E","","E","","E","","E","","E","","E","","E","","D","","D","","D","","D","","D","","B","","B","","B"
"44","","?","0","","C","","D","","D","","D","","C","","C","","B","","B","","B","","C","","C","","C","","B","","C","","D","","C","","B","","D","","D","","C","","D","","D","","C","","B","","B"
"45","","?","0","","B","","B","","D","","D","","C","","B","","B","","A","","D","","A","","D","","D","","D","","D","","D","","A","","B","","D","","D","","D","","D","","D","","A","","B","","A"
"46","","?","0","","A","","B","","D","","E","","B","","C","","A","","B","","D","","C","","D","","B","","E","","C","","D","","C","","C","","D","","D","","D","","D","","D","","B","","A","","D"
"48","","?","0","","A","","B","","D","","D","","B","","E","","E","","A","","D","","A","","D","","C","","D","","B","","D","","A","","C","","D","","D","","D","","D","","D","","A","","B","","A"
